country,index,n,minutes,seconds,index_as_time
Australia,10.073322811462697,171,10,4,10:04
Italy,11.870978252015966,15,11,52,11:52
New Zealand,12.744310575635874,35,12,44,12:44
Switzerland,14.398442764093732,18,14,23,14:23
Puerto Rico,14.865211810012838,1,14,51,14:51
Netherlands,14.866313344846072,73,14,51,14:51
Slovenia,14.95379445533464,4,14,57,14:57
Germany,14.977581676310614,167,14,58,14:58
Norway,15.483923616778196,22,15,29,15:29
Belgium,15.769380904051841,19,15,46,15:46
Ireland,15.957863623865826,45,15,57,15:57
Canada,16.187151986247624,130,16,11,16:11
Finland,16.445089171431015,16,16,26,16:26
Kuwait,17.4,1,17,23,17:23
UK,17.494985451105048,595,17,29,17:29
USA,17.903982947657862,600,17,54,17:54
Sweden,18.216791676748123,20,18,13,18:13
Malta,18.771929824561404,1,18,46,18:46
Israel,18.83617494440326,14,18,50,18:50
Spain,18.949976096310127,30,18,56,18:56
Austria,19.045198516279708,13,19,2,19:02
Denmark,19.400684362645773,36,19,24,19:24
Croatia,20.875226039783,9,20,52,20:52
France,21.255702681651275,31,21,15,21:15
Iceland,21.965397923875432,2,21,57,21:57
South Korea,23.815077051228656,4,23,48,23:48
Singapore,25.187651331719138,20,25,11,25:11
Slovakia,25.278903085073228,10,25,16,25:16
Estonia,27.454909819639276,2,27,27,27:27
Czechia,28.37671389107126,67,28,22,28:22
Poland,29.417130005622543,100,29,25,29:25
Japan,29.72903225806451,9,29,43,29:43
Portugal,29.94007191370355,13,29,56,29:56
Hungary,30.350364963503655,17,30,21,30:21
North Macedonia,30.642201834862387,1,30,38,30:38
Barbados,31.506105834464048,1,31,30,31:30
Cyprus,31.870324189526183,3,31,52,31:52
Ecuador,33.333333333333336,2,33,20,33:20
Latvia,34.06570841889118,6,34,3,34:03
Lithuania,34.622741764080764,3,34,37,34:37
Greece,35.52090183184595,23,35,31,35:31
South Africa,35.955678670360115,8,35,57,35:57
Moldova,36.65796344647519,1,36,39,36:39
Bulgaria,36.970621900038154,6,36,58,36:58
UAE,39.77777777777778,3,39,46,39:46
China,40.26535626535627,9,40,15,40:15
Romania,40.77421393585084,17,40,46,40:46
Serbia,41.74157303370787,7,41,44,41:44
Georgia,45,1,45,0,45:00
Ukraine,45.847665847665844,4,45,50,45:50
Thailand,48.143712574850305,1,48,8,48:08
Guatemala,48.82681564245811,2,48,49,48:49
Chile,48.885429638854305,10,48,53,48:53
Kazakstan,50.602409638554214,1,50,36,50:36
Armenia,51.98697068403909,1,51,59,51:59
Russia,52.285942918111495,14,52,17,52:17
Colombia,52.48764415156508,6,52,29,52:29
Taiwan,54.619883040935676,1,54,37,54:37
Brazil,56.83407501589319,14,56,50,56:50
Costa Rica,57.51898734177214,3,57,31,57:31
Lebanon,59.13669064748203,1,59,8,59:08
Argentina,60.22957719533191,22,60,13,60:13
Mauritius,62.53968253968254,1,62,32,62:32
Malaysia,67.09163346613545,18,67,5,67:05
Belarus,68.17120622568092,2,68,10,68:10
Maldives,70.83333333333333,1,70,49,70:49
Turkey,73.01175516822053,10,73,0,73:00
Iraq,73.42592592592594,3,73,25,73:25
Mexico,74.54233409610987,24,74,32,74:32
Jordan,77.87234042553193,1,77,52,77:52
Indonesia,77.92828685258964,8,77,55,77:55
Bolivia,79.32203389830508,2,79,19,79:19
Jamaica,84,1,84,0,84:00
Algeria,86.87499999999999,1,86,52,86:52
Saudi Arabia,91.44927536231884,1,91,26,91:26
Uruguay,93.5593220338983,1,93,33,93:33
El Salvador,96.32432432432432,1,96,19,96:19
Egypt,104.5945945945946,1,104,35,104:35
Philippines,110.73170731707317,11,110,43,110:43
Oman,118.98876404494382,3,118,59,118:59
Nicaragua,124.56521739130433,1,124,33,124:33
Sri Lanka,137.28813559322035,1,137,17,137:17
Vietnam,162.66666666666666,6,162,39,162:39
India,171.9893190921228,11,171,59,171:59
Djibouti,172.75862068965517,1,172,45,172:45
Qatar,186.99386503067487,1,186,59,186:59
Pakistan,277.03703703703707,2,277,2,277:02
